"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "JSON", "XML", "comment", "blank", "total"
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\pages\ProfilePage.jsx", "JavaScript JSX", 0, 171, 0, 0, 0, 6, 24, 201
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\pages\RecommendedPage.jsx", "JavaScript JSX", 0, 133, 0, 0, 0, 5, 9, 147
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\pages\SearchPage.jsx", "JavaScript JSX", 0, 114, 0, 0, 0, 7, 14, 135
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\pages\SettingsPage.jsx", "JavaScript JSX", 0, 356, 0, 0, 0, 95, 27, 478
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\pages\TrendingPage.jsx", "JavaScript JSX", 0, 128, 0, 0, 0, 5, 9, 142
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\pages\lists\ListPage.jsx", "JavaScript JSX", 0, 32, 0, 0, 0, 0, 5, 37
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\pages\lists\TierListPage.jsx", "JavaScript JSX", 0, 32, 0, 0, 0, 0, 5, 37
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\pages\lists\ViewListPage.jsx", "JavaScript JSX", 0, 528, 0, 0, 0, 27, 70, 625
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\pages\lists\ViewTierListPage.jsx", "JavaScript JSX", 0, 555, 0, 0, 0, 27, 69, 651
"Total", "-", 596, 13259, 31, 76, 5644, 1194, 1468, 22268
